time,open,high,low,close,volume
2023-07-25 09:00:00,96.3,108.0,95.5,106.0,3011982773.9368443
2023-07-26 09:00:00,105.0,107.0,99.2,100.0,1061590992.9787327
2023-07-27 09:00:00,101.0,104.0,99.1,100.0,571371085.0177364
2023-07-28 09:00:00,100.0,101.0,98.5,99.8,517396224.3797851
2023-07-29 09:00:00,99.8,106.0,99.4,103.0,458111099.6356009
2023-07-30 09:00:00,103.0,104.0,99.5,101.0,573084666.2844313
2023-07-31 09:00:00,101.0,104.0,100.0,102.0,322779863.7584913
2023-08-01 09:00:00,101.0,102.0,98.6,101.0,339278817.04816824
2023-08-02 09:00:00,102.0,102.0,97.3,97.7,318599083.2054281
2023-08-03 09:00:00,97.7,98.8,96.0,97.0,308498943.30911916
2023-08-04 09:00:00,97.1,98.9,96.5,97.1,248527016.13969982
2023-08-05 09:00:00,97.1,102.0,96.3,100.0,462461268.47860104
2023-08-06 09:00:00,100.0,101.0,98.5,98.6,243230312.522688
2023-08-07 09:00:00,98.7,99.9,95.9,97.3,311677185.5141275
2023-08-08 09:00:00,97.3,99.6,96.8,99.4,202021011.78793392
2023-08-09 09:00:00,99.3,101.0,98.8,99.9,308643308.25597054
2023-08-10 09:00:00,99.9,102.0,99.5,100.0,323929826.27430046
2023-08-11 09:00:00,100.0,102.0,100.0,101.0,86699349.88200007
2023-08-12 09:00:00,101.0,103.0,100.0,103.0,142800412.0892885
2023-08-13 09:00:00,102.0,103.0,99.5,100.0,175510053.22360548
2023-08-14 09:00:00,100.0,103.0,99.0,99.9,289769196.1248396
2023-08-15 09:00:00,99.9,101.0,95.7,95.9,390181626.4332201
2023-08-16 09:00:00,95.9,96.5,90.2,91.1,510237142.3738546
2023-08-17 09:00:00,91.1,92.9,82.4,84.1,658553901.8829355
2023-08-18 09:00:00,84.2,87.8,82.1,87.1,513055355.67535603
2023-08-19 09:00:00,87.1,89.0,86.9,88.1,192378208.9284717
2023-08-20 09:00:00,88.2,89.2,87.2,87.7,170235515.0758697
2023-08-21 09:00:00,87.7,88.0,84.0,85.7,211890526.43669775
2023-08-22 09:00:00,85.8,86.9,83.5,85.8,217502165.6123816
2023-08-23 09:00:00,85.8,89.3,85.3,86.8,262988043.29122218
2023-08-24 09:00:00,86.8,87.1,84.5,85.9,139522439.3751208
2023-08-25 09:00:00,85.9,86.0,84.0,85.9,151648042.90562016
2023-08-26 09:00:00,85.9,86.2,85.3,85.5,63531091.51627654
2023-08-27 09:00:00,85.6,86.6,85.3,85.6,73446386.6152127
2023-08-28 09:00:00,85.6,86.0,84.1,85.8,132600616.3351622
2023-08-29 09:00:00,85.7,92.7,84.5,89.6,751444233.587396
2023-08-30 09:00:00,89.6,90.0,87.6,89.5,229663113.78487504
2023-08-31 09:00:00,89.5,91.3,86.3,87.2,295292350.0590289
2023-09-01 09:00:00,87.3,87.8,85.9,87.4,205245356.76326138
2023-09-02 09:00:00,87.4,88.4,85.4,86.6,155089036.91962197
2023-09-03 09:00:00,86.6,86.8,85.6,85.9,133595307.41334991
2023-09-04 09:00:00,86.0,86.5,84.6,85.7,142779912.37710795
2023-09-05 09:00:00,85.7,87.5,85.3,87.0,184994248.06432706
2023-09-06 09:00:00,86.9,87.8,85.3,86.5,127785573.52565268
2023-09-07 09:00:00,86.6,86.8,85.5,86.4,110022140.41375814
2023-09-08 09:00:00,86.4,86.8,85.2,86.6,92964990.45404698
2023-09-09 09:00:00,86.6,87.0,86.1,86.3,68872753.05842765
2023-09-10 09:00:00,86.4,86.4,83.0,83.6,248164731.17078206
2023-09-11 09:00:00,83.6,84.5,81.1,82.4,322753108.10677934
2023-09-12 09:00:00,82.6,84.4,82.3,82.8,201884728.4150712
2023-09-13 09:00:00,82.7,83.8,82.2,83.0,162196178.7250197
2023-09-14 09:00:00,82.9,84.5,82.7,83.8,180832679.24398687
2023-09-15 09:00:00,83.8,84.8,83.2,84.2,151988130.56135896
2023-09-16 09:00:00,84.2,84.8,83.7,84.1,144815806.34833997
2023-09-17 09:00:00,84.1,84.2,82.6,82.8,163681618.8132788
2023-09-18 09:00:00,82.9,84.4,82.4,83.2,181206827.55260703
2023-09-19 09:00:00,83.2,84.7,83.0,84.0,174118920.94449803
2023-09-20 09:00:00,84.0,84.5,83.2,84.1,160922372.18572488
2023-09-21 09:00:00,84.1,85.7,83.0,83.1,221095428.97564968
2023-09-22 09:00:00,83.2,83.6,82.5,83.3,108765798.6078779
2023-09-23 09:00:00,83.4,83.9,83.1,83.2,80827828.036144
2023-09-24 09:00:00,83.2,83.5,82.1,82.2,126719280.822578
