time,open,high,low,close,volume
2023-07-25 09:00:00,912.0,929.0,877.0,919.0,386420500.4399387
2023-07-26 09:00:00,919.0,944.0,898.0,925.0,239631726.0735937
2023-07-27 09:00:00,924.0,948.0,916.0,925.0,178143310.05662218
2023-07-28 09:00:00,926.0,931.0,914.0,922.0,128348199.92527144
2023-07-29 09:00:00,921.0,925.0,914.0,919.0,81124728.52254608
2023-07-30 09:00:00,920.0,952.0,900.0,911.0,270435583.58825046
2023-07-31 09:00:00,911.0,933.0,895.0,906.0,152371366.72330245
2023-08-01 09:00:00,907.0,920.0,889.0,919.0,187303629.0537162
2023-08-02 09:00:00,919.0,921.0,895.0,902.0,125892574.17431618
2023-08-03 09:00:00,902.0,904.0,868.0,872.0,202386190.38939384
2023-08-04 09:00:00,873.0,882.0,832.0,842.0,216494887.677723
2023-08-05 09:00:00,842.0,842.0,807.0,832.0,211902034.16026312
2023-08-06 09:00:00,833.0,847.0,825.0,828.0,110301759.98105362
2023-08-07 09:00:00,829.0,834.0,800.0,824.0,205717425.04712346
2023-08-08 09:00:00,825.0,855.0,816.0,850.0,150876170.54551837
2023-08-09 09:00:00,849.0,884.0,841.0,851.0,263271903.93247882
2023-08-10 09:00:00,851.0,855.0,828.0,840.0,165982034.50922105
2023-08-11 09:00:00,840.0,853.0,837.0,841.0,87274471.3056483
2023-08-12 09:00:00,842.0,844.0,834.0,837.0,51228146.83904202
2023-08-13 09:00:00,838.0,850.0,835.0,837.0,51433066.22151097
2023-08-14 09:00:00,837.0,849.0,834.0,846.0,77854773.30453277
2023-08-15 09:00:00,846.0,847.0,803.0,823.0,125016455.53968526
2023-08-16 09:00:00,824.0,837.0,789.0,799.0,316375001.1223073
2023-08-17 09:00:00,799.0,808.0,673.0,697.0,546339937.4970651
2023-08-18 09:00:00,697.0,717.0,662.0,696.0,534966692.07871664
2023-08-19 09:00:00,697.0,724.0,691.0,717.0,221138239.22476986
2023-08-20 09:00:00,718.0,767.0,714.0,739.0,346882728.8836387
2023-08-21 09:00:00,739.0,741.0,698.0,717.0,229272113.71465588
2023-08-22 09:00:00,718.0,719.0,693.0,713.0,167496312.12355474
2023-08-23 09:00:00,713.0,728.0,705.0,720.0,134510248.9765976
2023-08-24 09:00:00,720.0,722.0,697.0,705.0,120311116.42002903
2023-08-25 09:00:00,706.0,723.0,691.0,715.0,196101394.92935437
2023-08-26 09:00:00,715.0,718.0,705.0,712.0,68917439.30931479
2023-08-27 09:00:00,712.0,720.0,705.0,711.0,70654639.94084077
2023-08-28 09:00:00,711.0,711.0,694.0,706.0,110582412.51708117
2023-08-29 09:00:00,707.0,743.0,696.0,728.0,286700799.4819234
2023-08-30 09:00:00,728.0,729.0,709.0,718.0,156320214.28755766
2023-08-31 09:00:00,717.0,720.0,693.0,698.0,162168156.23052934
2023-09-01 09:00:00,698.0,700.0,671.0,682.0,200990494.31568944
2023-09-02 09:00:00,682.0,685.0,674.0,679.0,122475823.12131645
2023-09-03 09:00:00,679.0,697.0,676.0,686.0,95144167.0708039
2023-09-04 09:00:00,685.0,695.0,676.0,689.0,113599871.05587184
2023-09-05 09:00:00,689.0,689.0,680.0,687.0,107378988.53809215
2023-09-06 09:00:00,687.0,688.0,672.0,683.0,95276664.4315579
2023-09-07 09:00:00,684.0,688.0,676.0,685.0,87525084.42416798
2023-09-08 09:00:00,685.0,689.0,676.0,686.0,91059646.4651177
2023-09-09 09:00:00,687.0,688.0,683.0,686.0,44198122.58567223
2023-09-10 09:00:00,686.0,686.0,675.0,677.0,77915339.7584092
2023-09-11 09:00:00,678.0,679.0,637.0,647.0,267592996.55368108
2023-09-12 09:00:00,647.0,659.0,641.0,652.0,186104972.93216535
2023-09-13 09:00:00,651.0,664.0,645.0,653.0,160702795.69604212
2023-09-14 09:00:00,654.0,668.0,651.0,661.0,143861041.64080447
2023-09-15 09:00:00,661.0,686.0,660.0,675.0,203579327.82990733
2023-09-16 09:00:00,675.0,681.0,673.0,677.0,115807604.70582247
2023-09-17 09:00:00,677.0,677.0,663.0,665.0,106092938.18764505
2023-09-18 09:00:00,664.0,681.0,659.0,675.0,138772010.1216543
2023-09-19 09:00:00,676.0,692.0,672.0,688.0,128753757.64615016
2023-09-20 09:00:00,688.0,706.0,683.0,702.0,182123393.67878544
2023-09-21 09:00:00,701.0,702.0,678.0,687.0,146074720.29828867
2023-09-22 09:00:00,687.0,699.0,683.0,693.0,91654017.01615848
2023-09-23 09:00:00,693.0,695.0,685.0,687.0,63618363.56592218
2023-09-24 09:00:00,688.0,692.0,677.0,680.0,80194967.24560156
2023-09-25 09:00:00,679.0,684.0,666.0,681.0,122654220.6100798
2023-09-26 09:00:00,682.0,688.0,676.0,681.0,103177070.07310629
2023-09-27 09:00:00,680.0,690.0,677.0,682.0,115757186.70027415
2023-09-28 09:00:00,681.0,692.0,678.0,690.0,119676344.76211151
2023-09-29 09:00:00,690.0,745.0,688.0,706.0,426961053.28278625
2023-09-30 09:00:00,705.0,707.0,697.0,699.0,112625396.33547713
2023-10-01 09:00:00,699.0,709.0,696.0,708.0,95039528.76042342
2023-10-02 09:00:00,708.0,713.0,694.0,697.0,129912166.1955958
2023-10-03 09:00:00,696.0,747.0,690.0,731.0,272470577.8450688
2023-10-04 09:00:00,732.0,737.0,707.0,721.0,300630699.66998446
2023-10-05 09:00:00,721.0,721.0,703.0,709.0,142032414.7475449
2023-10-06 09:00:00,710.0,715.0,704.0,710.0,101910740.0543414
2023-10-07 09:00:00,711.0,712.0,706.0,709.0,46822437.98509593
2023-10-08 09:00:00,708.0,711.0,702.0,703.0,59081170.12501643
2023-10-09 09:00:00,703.0,708.0,674.0,684.0,188448448.01364002
2023-10-10 09:00:00,685.0,685.0,672.0,676.0,116009709.98777302
2023-10-11 09:00:00,676.0,678.0,656.0,667.0,157503045.7467884
2023-10-12 09:00:00,666.0,667.0,649.0,662.0,151462831.39575848
2023-10-13 09:00:00,663.0,673.0,659.0,667.0,96555145.62195748
2023-10-14 09:00:00,667.0,671.0,665.0,667.0,69465472.4042181
2023-10-15 09:00:00,667.0,670.0,663.0,665.0,101613967.53356346
2023-10-16 09:00:00,665.0,695.0,663.0,676.0,220861525.5158948
2023-10-17 09:00:00,675.0,676.0,663.0,668.0,123980906.64154114
2023-10-18 09:00:00,669.0,672.0,664.0,667.0,124001598.77050138
2023-10-19 09:00:00,666.0,713.0,654.0,706.0,336386912.0724199
2023-10-20 09:00:00,706.0,723.0,689.0,699.0,355917199.0911892
2023-10-21 09:00:00,699.0,720.0,693.0,703.0,155071389.8773455
2023-10-22 09:00:00,703.0,708.0,695.0,702.0,112966000.54825957
2023-10-23 09:00:00,702.0,735.0,702.0,730.0,309618843.44325036
2023-10-24 09:00:00,730.0,790.0,715.0,752.0,658666353.6829463
2023-10-25 09:00:00,752.0,761.0,733.0,749.0,220325007.01121643
2023-10-26 09:00:00,749.0,769.0,736.0,747.0,264503730.72925586
2023-10-27 09:00:00,747.0,754.0,733.0,738.0,133202694.88775872
2023-10-28 09:00:00,738.0,747.0,736.0,741.0,92131403.34626032
2023-10-29 09:00:00,741.0,760.0,738.0,754.0,136844427.20813698
2023-10-30 09:00:00,753.0,796.0,747.0,782.0,322799610.0006803
2023-10-31 09:00:00,783.0,847.0,766.0,814.0,573169115.9203569
